work_year,experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
2020,Midlevel,Fulltime,Data Scientist,79833,Germany,Large
2020,Senior,Fulltime,Machine Learning Scientist,260000,Japan,Small
2020,Senior,Fulltime,Big Data Engineer,109024,Great Britain,Medium
2020,Midlevel,Fulltime,Product Data Analyst,20000,Honduras,Small
2020,Senior,Fulltime,Machine Learning Engineer,150000,United States,Large
2020,Entry Level,Fulltime,Data Analyst,72000,United States,Large
2020,Senior,Fulltime,Lead Data Scientist,190000,United States,Small
2020,Midlevel,Fulltime,Data Scientist,35735,Hungary,Large
2020,Midlevel,Fulltime,Business Data Analyst,135000,United States,Large
2020,Senior,Fulltime,Lead Data Engineer,125000,New Zealand,Small
2020,Entry Level,Fulltime,Data Scientist,51321,France,Small
2020,Midlevel,Fulltime,Data Scientist,40481,India,Large
2020,Entry Level,Fulltime,Data Scientist,39916,France,Medium
2020,Midlevel,Fulltime,Lead Data Analyst,87000,United States,Large
2020,Midlevel,Fulltime,Data Analyst,85000,United States,Large
2020,Midlevel,Fulltime,Data Analyst,8000,Pakistan,Large
2020,Entry Level,Fulltime,Data Engineer,41689,Japan,Small
2020,Senior,Fulltime,Big Data Engineer,114047,Great Britain,Small
2020,Entry Level,Fulltime,Data Science Consultant,5707,India,Medium
2020,Midlevel,Fulltime,Lead Data Engineer,56000,United States,Medium
2020,Midlevel,Fulltime,Machine Learning Engineer,43331,China,Medium
2020,Midlevel,Fulltime,Product Data Analyst,6072,India,Large
2020,Senior,Fulltime,Data Engineer,47899,Greece,Large
2020,Midlevel,Fulltime,BI Data Analyst,98000,United States,Medium
2020,Midlevel,Fulltime,Lead Data Scientist,115000,United Arab Emirates,Large
2020,Entry Level,Fulltime,Research Scientist,42000,Netherlands,Large
2020,Senior,Fulltime,Data Engineer,33511,Mexico,Small
2020,Entry Level,Contract,Business Data Analyst,100000,United States,Large
2020,Senior,Fulltime,Machine Learning Manager,117104,Canada,Large
2020,Midlevel,Fulltime,Data Engineering Manager,59303,Germany,Small
2020,Entry Level,Fulltime,Big Data Engineer,70000,United States,Large
2020,Senior,Fulltime,Data Scientist,68428,United States,Large
2020,Midlevel,Fulltime,Research Scientist,450000,United States,Medium
2020,Midlevel,Fulltime,Data Analyst,46759,France,Large
2020,Midlevel,Fulltime,Data Engineer,74130,Austria,Large
2020,Midlevel,Fulltime,Data Science Consultant,103000,United States,Large
2020,Entry Level,Fulltime,Machine Learning Engineer,250000,United States,Large
2020,Entry Level,Fulltime,Data Analyst,10000,Nigeria,Small
2020,Entry Level,Fulltime,Machine Learning Engineer,138000,United States,Small
2020,Midlevel,Fulltime,Data Scientist,45760,United States,Small
2020,Midlevel,Fulltime,Machine Learning Infrastructure Engineer,50180,Portugal,Medium
2020,Midlevel,Fulltime,Data Engineer,106000,United States,Large
2020,Midlevel,Fulltime,Data Engineer,112872,Great Britain,Large
2020,Entry Level,Parttime,ML Engineer,15966,Germany,Small
2020,Midlevel,Fulltime,Data Scientist,76958,Great Britain,Small
2020,Senior,Fulltime,Data Engineer,188000,United States,Large
2020,Midlevel,Fulltime,Data Scientist,105000,United States,Large
2020,Midlevel,Fulltime,Data Engineer,70139,France,Large
2020,Entry Level,Fulltime,Data Analyst,6072,India,Small
2020,Entry Level,Fulltime,Data Analyst,91000,United States,Large
2020,Entry Level,Fulltime,AI Scientist,45896,Denmark,Small
2020,Entry Level,Fulltime,Data Engineer,54742,Germany,Large
2020,Senior,Fulltime,Computer Vision Engineer,60000,United States,Small
2020,Senior,Fulltime,Principal Data Scientist,148261,Germany,Medium
